date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:16	281/281	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Nov%202020%2013:36:15%20GMT	http://www.smartpixel.tech/robots.txt		(from )
14:36:16	40041/40041	---MCZ	200	added ('OK')	text/html	etag:W/%229c69-58783e7bde280%22	http://www.smartpixel.tech/smartmed/	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/index.html	(from )
14:36:16	1696/1696	---M--	200	added ('OK')	image/png	etag:%226a0-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/favicon.png	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/favicon.png	(from http://www.smartpixel.tech/smartmed/)
14:36:17	4759/4759	---M--	200	added ('OK')	image/png	etag:%221297-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/apple-touch-180x180.png	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/apple-touch-180x180.png	(from http://www.smartpixel.tech/smartmed/)
14:36:17	4759/4759	---M--	200	added ('OK')	image/png	etag:%221297-58783e7bde280%22	http://www.smartpixel.tech/smartmed/mstile.png	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/mstile.png	(from http://www.smartpixel.tech/smartmed/)
14:36:18	160403/160403	---MCZ	200	added ('OK')	text/css	etag:W/%2227293-5a57648396c00%22	http://www.smartpixel.tech/smartmed/assets/bootstrap/css/bootstrap.min.css	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/bootstrap/css/bootstrap.min.css	(from http://www.smartpixel.tech/smartmed/)
14:36:18	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/css/font-awesome.min.css	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/fontawesome/css/font-awesome.min.css	(from http://www.smartpixel.tech/smartmed/)
14:36:18	8002/8002	---MCZ	200	added ('OK')	text/css	etag:W/%221f42-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/css/smartmed-icons.min.css	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/css/smartmed-icons.min.css	(from http://www.smartpixel.tech/smartmed/)
14:36:18	12795/12795	---MCZ	200	added ('OK')	text/css	etag:W/%2231fb-585b146052080%22	http://www.smartpixel.tech/smartmed/assets/plugins/fancybox/jquery.fancybox.min.css	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/plugins/fancybox/jquery.fancybox.min.css	(from http://www.smartpixel.tech/smartmed/)
14:36:18	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22d17-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/plugins/owl-carousel/owl.carousel.min.css	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/plugins/owl-carousel/owl.carousel.min.css	(from http://www.smartpixel.tech/smartmed/)
